i_name,url,name,target_url,target_img,map_url,map_img,rate,reviews,details,directions,website,wiki_description,wiki_link,description,address,open_today,opened,phone,owner,floor_count,date_completed,construction_started,completed,floor_area,architect,Lines,previous_names,area,city_office,population,prefecture,colleges_and_universities,theme,height,cost,top_floor,did_you_know,end
Odaiba,https://www.google.com/search?hl=en&q=Odaiba,Odaiba,https://www.japan-guide.com/e/e3008.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4u-1Zhh0Jzlp7pORc5qFoUKAKMiSi3ydyDZeKwJS7kHGcaQsE0t42CJGZ,"https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us&sa=X&ll=35.6247918,139.77671&z=15&ftid=0x601889f82c55d4cb:0x79fe8b211d2010b9&q=Odaiba,+Tokyo,+Japan&ved=0ahUKEwjInp3Hn77aAhVijVQKHTWKANgQ_BIIazAO",https://www.google.com/maps/vt/data=ggo-rk8KEnfo-U0IlDOZBaoDGfEmaGMSzarPhRfgtDkgY9diCCrKQEOX1UPEGZWTUANpeqxvMucRmwVvRyexG6RjCZawJgAoZTfa3GNE3kcMTEkIb_JOZiHiQ3Axc0tGLuy5O58vPM52E1HOO4JhpDIECrkzbDD7kj24mr-XUALTTp-5xrK5Ea2Ecf8iNKoIhkpLA3tP-cjV408TWZw7EwByeWISddE,_,_,_,_,_,"Odaiba is a large artificial island in Tokyo Bay, Japan, across the Rainbow Bridge from central Tokyo. Wikipedia",https://en.wikipedia.org/wiki/Odaiba,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,"The pedestrian path begins a short walk from Shibaura-futo Station along the Yurikamome on the ""Tokyo side"" of the bridge, while Odaiba Kaihinkoen Station is the nearest station on the ""Odaiba side"".",_
Sensō-ji,https://www.google.com/search?hl=en&q=Sensō-ji,Sensō-ji,https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us,https://www.google.com/maps/vt/data=tPtcrstczImdDlEwR8Cbd0pfu8ImlOLru2oRvk-cus8baVlFGGYNDqPQJmMFuqfX7m3L2wPaBbDml4cRZCeWWcZTj4PHK0GimqInv7KXnwAAxtgNfLLy6uEOeXNg-D4xAQaCkvsY4ZQfeNVYe1qIH74f6Xrh-frAuYs4-n0xjF7M9E12TyM6621FEw,_,_,4.4," 8,503 reviews","Temple in Tokyo, Japan","https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us&sa=X&geocode=KfE9RqTBjhhgMQ2BkoKaKA1s&daddr=2+Chome-3-1+Asakusa,+Tait%C5%8D,+Tokyo+111-0032,+Japan&ved=0ahUKEwjai5vHn77aAhWLsFQKHfNvCSgQiBMIdygAMBE",http://www.senso-ji.jp/,"Sensō-ji is an ancient Buddhist temple located in Asakusa, Tokyo, Japan. It is Tokyo's oldest temple, and one of its most significant. Formerly associated with the Tendai sect of Buddhism, it became independent after World War II. Wikipedia",https://en.wikipedia.org/wiki/Sens%25C5%258D-ji,_,"2 Chome-3-1 Asakusa, Taitō, Tokyo 111-0032, Japan",_,645 AD,+81 3-3842-0181,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Kaminarimon is the first of two large entrance gates leading to Sensoji Temple.,_
Tokyo Skytree,https://www.google.com/search?hl=en&q=Tokyo+Skytree,Tokyo Skytree,https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us,https://www.google.com/maps/vt/data=Cz7qqye_d6nIAsZE3WLIyx_haJjH6Sq6c2sfkeKp1NpccHdbcLCfIm1ydrzEiZ64eJLHC4OMuHqzxGQprsMFqss1mHK7fU633_GwFsu4BEgw-ckzYaizX1wpodeR0sKxVTtyGkx16Ov3H1PhPz_NvekgxAPfF4vlI00vWGtL2tb2RW4ebMWYplKr7Zf-PA,_,_,4.3," 22,667 reviews","Tower in Tokyo, Japan","https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us&sa=X&geocode=Kd-aL9HQjhhgMSr3Qx-zTx19&daddr=1+Chome-1-2+Oshiage,+Sumida,+Tokyo+131-0045,+Japan&ved=0ahUKEwiXlZvHn77aAhWqwFQKHRAQD-oQiBMIdygAMBM",http://www.tokyo-skytree.jp/,"Tokyo Skytree is a broadcasting, restaurant, and observation tower in Sumida, Tokyo, Japan. It became the tallest structure in Japan in 2010 and reached its full height of 634.0 metres in March 2011, ... Wikipedia",https://en.wikipedia.org/wiki/Tokyo_Skytree,_,"1 Chome-1-2 Oshiage, Sumida, Tokyo 131-0045, Japan",8AM–10PM,_,+81 570-550-634,_,_,_,"July 14, 2008",_,_,_,_,_,_,_,_,_,_,_,"2,080′",65�billion JPY (600 million USD),"451.2 m (1,480 ft)",The tower is the centrepiece of a large commercial development funded by Tobu Railway and a group of six terrestrial broadcasters headed by NHK.,_
Tokyo Disneyland,https://www.google.com/search?hl=en&q=Tokyo+Disneyland,Tokyo Disneyland,https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us,https://www.google.com/maps/vt/data=_NwzY1e85Fxq-vQEr7-Ocrp_rB8-1l-cjhOEkagiO2ctLV0rATbzMOX4Eor7PJF6k1daKeiCHbtBmQ0Bg4Wd4frLG3aZaYiOUYV5cPdL5oYk0JARAs8aq12LpmlxtkJvwmEH6FdCyzQ7X0zk5XED4EzOiQ,_,_,4.5," 11,902 reviews","Theme park in Urayasu, Japan","https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us&sa=X&geocode=KbM3RxEDfRhgMcvTCdU2Ntnk&daddr=1-1+Maihama,+Urayasu,+Chiba+Prefecture+279-0031,+Japan&ved=0ahUKEwjLkJ3Hn77aAhWqiFQKHabECZ8QiBMIfigAMBA",http://www.tokyodisneyresort.jp/tdl/index.html,"Tokyo Disneyland is a 115-acre theme park at the Tokyo Disney Resort in Urayasu, Chiba Prefecture, Japan, near Tokyo. Its main gate is directly adjacent to both Maihama Station and Tokyo Disneyland Station. Wikipedia",https://en.wikipedia.org/wiki/Tokyo_Disneyland,_,"1-1 Maihama, Urayasu, Chiba Prefecture 279-0031, Japan",8AM–10PM,"April 15, 1983",+81 45-330-5211,_,_,_,_,_,_,_,_,_,115�acres,_,_,_,_,Fairy tales and Disney characters,_,_,_,"Tokyo Disneyland and its companion park, Tokyo DisneySea, are the only Disney parks not wholly or partly owned by the Walt Disney Company (however, Disney has creative control).",_
Harajuku,https://www.google.com/search?hl=en&q=Harajuku,Harajuku,https://triplelights.com/blog/harajuku-street-fashion-a-373,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4sMC9BtBkIjegIXgJIVrAn4MXrzUl4VRunKW3wDQzZ6H_M-GM9FT_yyNN,"https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us&sa=X&ll=35.6716283,139.7102847&z=15&ftid=0x60188ca2e4535de5:0x4819c8b806e23295&q=Harajuku,+Jingumae,+Shibuya,+Tokyo+150-0001,+Japan&ved=0ahUKEwiBq5vHn77aAhVN4VQKHSN5AFkQ_BIIcjAO",https://www.google.com/maps/vt/data=oB4JqxjwOPzsL_GkMZxcnEuVG3DNRwks7GdmdyKuhgImEGaCpb8yIcDt_LX4JVl3iYL8oXqVyt5wXnvtK0-jYVEQ2VzpXi0JGfvsdQvjxmk1NMM3Z5pS176bHCWRYg08jKgQK7L-RdcmJN4jNPPWxn4IYico6BzW4-q1gCryEsBAECKLGcrWHb1vPPx_zJl826-t1ok44j2MQACLSE4mS-lSoGqmAPM,_,_,_,_,_,"Buzzing Harajuku is renowned for its colorful street art and fashion scene, with quirky vintage clothing stores and cosplay shops along Takeshita Street, and more traditional, upmarket boutiques lining leafy Omotesando Avenue. Small bars and trendy cafes fill the surrounding lanes, while cultural hotspots include the Watari Museum of Contemporary Art, which hosts cutting-edge temporary exhibitions.",_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,"Coming into the 1970s, fashion-obsessed youth culture experienced a transition from Shinjuku to Harajuku, then to Shibuya.",_
Meiji Shrine,https://www.google.com/search?hl=en&q=Meiji+Shrine,Meiji Shrine,https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us,https://www.google.com/maps/vt/data=4S0OBtbDRuUz-XF73b3cPqmutB9in5yJAchWEtRFdG73Ttp-0XTIqoHeHeEtrDgpMywLjhfSvAEnYNuHkElrfIeUApCxDwL-Z8_PVBcwd6vkho1oUPe9aALBjKA6yZ6OXTayjDl1zY_HvULnHEnd2oWmJiFhJJa2gmgJ6K7CMRJEGkKYw1GcZAm3jg,_,_,4.5," 3,055 reviews","Shinto shrine in Tokyo, Japan","https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us&sa=X&geocode=KeUmTJq3jBhgMXM_EEk4icqP&daddr=1-1+Yoyogikamizonocho,+Shibuya,+Tokyo+151-8557,+Japan&ved=0ahUKEwjw0JvHn77aAhWK-VQKHQ5fBuUQiBMIdygAMBI",http://www.meijijingu.or.jp/,"Meiji Shrine, located in Shibuya, Tokyo, is the Shinto shrine that is dedicated to the deified spirits of Emperor Meiji and his wife, Empress Shōken. Wikipedia",https://en.wikipedia.org/wiki/Meiji_Shrine,_,"1-1 Yoyogikamizonocho, Shibuya, Tokyo 151-8557, Japan",_,1920,+81 3-3379-5511,_,_,_,_,_,_,Itō Chūta,_,_,_,_,_,_,_,_,_,_,_,"The shrine was completed and dedicated to the Emperor Meiji and the Empress Shoken in 1920, eight years after the passing of the emperor and six years after the passing of the empress.",_
Ueno Park,https://www.google.com/search?hl=en&q=Ueno+Park,Ueno P
Tokyo Imperial Palace,https://www.google.com/search?hl=en&q=Tokyo+Imperial+Palace,Tokyo Imperial Palace,https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us,https://www.google.com/maps/vt/data=JkRBYVo7OXOxKT5XyRsTMeowBu6jDA2VNQqRc0Xd-oRJyTxpe_IxuMXmElHCyyAyLgzxCotEhtQERe90DHCMuR1NjdGY52Kv_vOB-w76PVeWku4-ibKyNJMkUmScJ5z1xJJULClQtZ9x_2wCbOY1544wYA,_,_,4.4," 5,787 reviews","Palace in Tokyo, Japan","https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us&sa=X&geocode=KU0G+Tokyo+110-0007,+Japan&ved=0ahUKEwj4g5zHn77aAhXBiVQKHSSCBwwQiBMIcigAMBE",http://www.kensetsu.metro.tokyo.jp/toubuk/ueno/index_top.html,"Ueno Park is a spacious public park in the Ueno district of Taitō, Tokyo, Japan. The park was established in 1873 on lands formerly belonging to the temple of Kan'ei-ji. Wikipedia",https://en.wikipedia.org/wiki/Ueno_Park,_,"５-20 Uenokoen, Taitō, Tokyo 110-0007, Japan",5AM–1"1-1 Chiyoda, Tokyo 100-8111, Japan",_,_,+81 3-3213-1111,_,_,_,_,_,_,_,
Tokyo Imperial Palace,https://www.google.com/search?hl=en&q=Tokyo+Imperial+Palace,Tokyo Imperial Palace,https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us,https://www.google.com/maps/vt/data=JkRBYVo7OXOxKT5XyRsTMeowBu6jDA2VNQqRc0Xd-oRJyTxpe_IxuMXmElHCyyAyLgzxCotEhtQERe90DHCMuR1NjdGY52Kv_vOB-w76PVeWku4-ibKyNJMkUmScJ5z1xJJULClQtZ9x_2wCbOY1544wYA,_,_,4.4," 5,787 reviews","Palace in Tokyo, Japan","https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us&sa=X&geocode=KU0G2AINjBhgMbdtnjcLXxrR&daddr=1-1+Chiyoda,+Tokyo+100-8111,+Japan&ved=0ahUKEwiBn5zHn77aAhXnllQKHUEQCy0QiBMIdSgAMBE",http://sankan.kunaicho.go.jp/,"The Tokyo Imperial Palace is the primary residence of the Emperor of Japan. It is a large park-like area located in the Chiyoda ward of Tokyo and contains buildings including the main palace, the private ... Wikipedia",https://en.wikipedia.org/wiki/Tokyo_Imperial_Palace,_,"1-1 Chiyoda, Tokyo 100-8111, Japan",_,_,+81 3-3213-1111,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,In 1888 construction of a new Imperial Palace was completed.,_
Tokyo DisneySea,https://www.google.com/search?hl=en&q=Tokyo+DisneySea,Tokyo DisneySea,https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us,https://www.google.com/maps/vt/data=uarFaOX9DMMpTuctFLza9BxJ9WiRq4qGVMnSiDiq9knwQr8HMxGTblDTW6ae825W1mXQ2EGl7nm2oLFjsJ5as4Md40Wt6dnMDY3XWmKEcCCz_q6S4sQ60wSnM191ZtYoq1gJk9JGDsVAyAU-Y_LPmdPD0KkqvJhqy_FylGnvVIqG4VIILXDhhKwADg,_,_,4.5," 7,326 reviews","Theme park in Urayasu, Japan","https://maps.google.com/maps?hl=en&um=1&ie=UTF-8&fb=1&gl=us&sa=X&geocode=KbM3RxEDfRhgMSUtt0pwHUdB&daddr=1-13+Maihama,+Urayasu,+Chiba+Prefecture+279-0031,+Japan&ved=0ahUKEwjB5pvHn77aAhWE-VQKHbuzApwQiBMIeSgAMBE",http://www.tokyodisneyresort.co.jp/tds/index.html,"Tokyo DisneySea is a 176-acre theme park at the Tokyo Disney Resort located in Urayasu, Chiba Prefecture, Japan, just outside Tokyo. It opened on 4 September 2001, at a cost of 335 billion yen. Wikipedia",https://en.wikipedia.org/wiki/Tokyo_DisneySea,_,"1-13 Maihama, Urayasu, Chiba Prefecture 279-0031, Japan",8:30AM–10PM,"September 4, 2001",+81 570-008-632,_,_,_,_,_,_,_,_,_,176�acres,_,_,_,_,"Nautical, exploration and adventure",_,_,_,Tokyo DisneySea is considered by many to be one of the best theme parks in the world.,_
